time="2023-06-20 17:45:25" level=info msg="start server...\r\ngo：http://0.0.0.0:8081"
time="2023-06-20 17:45:29" level=info msg="| 200 |      1.5581ms |    192.168.3.67 | GET | /notice?kefu_id=kefu2 |"
time="2023-06-20 17:45:29" level=info msg="| 200 |      6.5048ms |    192.168.3.67 | POST | /2/message |"
time="2023-06-20 17:45:40" level=info msg="| 200 |   10.2083352s |    192.168.3.67 | GET | /ws_visitor?visitor_id=c61618d6-0bf6-4c33-9ebc-603197b62aa1 |"
time="2023-06-20 17:45:41" level=info msg="| 200 |       3.486ms |    192.168.3.67 | GET | /chatIndex?kefu_id=kefu2 |"
time="2023-06-20 17:45:41" level=info msg="| 200 |     12.1805ms |    192.168.3.67 | POST | /visitor_login |"
time="2023-06-20 17:45:41" level=info msg="| 200 |      4.1981ms |    192.168.3.67 | GET | /2/messagesPages?page=1&pagesize=5&visitor_id=c61618d6-0bf6-4c33-9ebc-603197b62aa1 |"
time="2023-06-20 17:45:41" level=info msg="| 200 |      1.1187ms |    192.168.3.67 | GET | /notice?kefu_id=kefu2 |"
time="2023-06-20 17:45:41" level=info msg="| 200 |      8.7406ms |    192.168.3.67 | POST | /2/message |"
time="2023-06-20 17:45:41" level=info msg="| 404 |            0s |    192.168.3.67 | GET | /favicon.ico |"
time="2023-06-20 17:46:33" level=info msg="| 200 |   51.7581935s |    192.168.3.67 | GET | /ws_visitor?visitor_id=c61618d6-0bf6-4c33-9ebc-603197b62aa1 |"
time="2023-06-20 17:46:34" level=info msg="| 200 |      2.5936ms |    192.168.3.67 | GET | /chatIndex?kefu_id=kefu2 |"
time="2023-06-20 17:46:34" level=info msg="| 200 |     10.7085ms |    192.168.3.67 | POST | /visitor_login |"
time="2023-06-20 17:46:34" level=info msg="| 200 |       3.673ms |    192.168.3.67 | GET | /2/messagesPages?page=1&pagesize=5&visitor_id=c61618d6-0bf6-4c33-9ebc-603197b62aa1 |"
time="2023-06-20 17:46:34" level=info msg="| 404 |            0s |    192.168.3.67 | GET | /favicon.ico |"
time="2023-06-20 17:46:34" level=info msg="| 200 |      1.1557ms |    192.168.3.67 | GET | /notice?kefu_id=kefu2 |"
time="2023-06-20 17:46:34" level=info msg="| 200 |      6.9913ms |    192.168.3.67 | POST | /2/message |"
time="2023-06-20 17:47:02" level=info msg="| 200 |   27.9659654s |    192.168.3.67 | GET | /ws_visitor?visitor_id=c61618d6-0bf6-4c33-9ebc-603197b62aa1 |"
time="2023-06-20 17:47:03" level=info msg="| 200 |      3.1551ms |    192.168.3.67 | GET | /chatIndex?kefu_id=kefu2 |"
time="2023-06-20 17:47:03" level=info msg="| 200 |     13.9716ms |    192.168.3.67 | POST | /visitor_login |"
time="2023-06-20 17:47:04" level=info msg="| 200 |      6.9569ms |    192.168.3.67 | GET | /2/messagesPages?page=1&pagesize=5&visitor_id=c61618d6-0bf6-4c33-9ebc-603197b62aa1 |"
time="2023-06-20 17:47:04" level=info msg="| 404 |            0s |    192.168.3.67 | GET | /favicon.ico |"
time="2023-06-20 17:47:04" level=info msg="| 200 |      1.0524ms |    192.168.3.67 | GET | /notice?kefu_id=kefu2 |"
time="2023-06-20 17:47:04" level=info msg="| 200 |      7.9079ms |    192.168.3.67 | POST | /2/message |"
time="2023-06-20 17:47:06" level=info msg="| 200 |      1.0387ms |    192.168.3.67 | POST | /2/message |"
time="2023-06-20 17:47:09" level=info msg="| 200 |      7.5503ms |    192.168.3.67 | POST | /2/message |"
time="2023-06-20 17:48:55" level=info msg="start server...\r\ngo：http://0.0.0.0:8081"
time="2023-06-20 17:48:56" level=info msg="| 200 |      2.5782ms |    192.168.3.67 | GET | /chatIndex?kefu_id=kefu2 |"
time="2023-06-20 17:48:56" level=info msg="| 200 |     10.5966ms |    192.168.3.67 | POST | /visitor_login |"
time="2023-06-20 17:48:56" level=info msg="| 200 |      3.9413ms |    192.168.3.67 | GET | /2/messagesPages?page=1&pagesize=5&visitor_id=c61618d6-0bf6-4c33-9ebc-603197b62aa1 |"
time="2023-06-20 17:48:56" level=info msg="| 200 |      1.5837ms |    192.168.3.67 | GET | /notice?kefu_id=kefu2 |"
time="2023-06-20 17:48:56" level=info msg="| 200 |      8.7534ms |    192.168.3.67 | POST | /2/message |"
time="2023-06-20 17:48:56" level=info msg="| 404 |            0s |    192.168.3.67 | GET | /favicon.ico |"
time="2023-06-20 17:49:03" level=info msg="| 200 |    6.2414433s |    192.168.3.67 | GET | /ws_visitor?visitor_id=c61618d6-0bf6-4c33-9ebc-603197b62aa1 |"
time="2023-06-20 17:49:04" level=info msg="| 200 |      2.5932ms |    192.168.3.67 | GET | /chatIndex?kefu_id=kefu2 |"
time="2023-06-20 17:49:04" level=info msg="| 200 |       19.72ms |    192.168.3.67 | POST | /visitor_login |"
time="2023-06-20 17:49:04" level=info msg="| 200 |      4.1806ms |    192.168.3.67 | GET | /2/messagesPages?page=1&pagesize=5&visitor_id=c61618d6-0bf6-4c33-9ebc-603197b62aa1 |"
time="2023-06-20 17:49:04" level=info msg="| 200 |      1.1186ms |    192.168.3.67 | GET | /notice?kefu_id=kefu2 |"
time="2023-06-20 17:49:04" level=info msg="| 200 |      7.1642ms |    192.168.3.67 | POST | /2/message |"
time="2023-06-20 17:49:04" level=info msg="| 404 |            0s |    192.168.3.67 | GET | /favicon.ico |"
time="2023-06-20 17:49:34" level=info msg="| 200 |   30.3666278s |    192.168.3.67 | GET | /ws_visitor?visitor_id=c61618d6-0bf6-4c33-9ebc-603197b62aa1 |"
time="2023-06-20 17:49:35" level=info msg="| 200 |      2.6274ms |    192.168.3.67 | GET | /chatIndex?kefu_id=kefu2 |"
time="2023-06-20 17:49:36" level=info msg="| 200 |      12.945ms |    192.168.3.67 | POST | /visitor_login |"
time="2023-06-20 17:49:36" level=info msg="| 200 |      3.6047ms |    192.168.3.67 | GET | /2/messagesPages?page=1&pagesize=5&visitor_id=c61618d6-0bf6-4c33-9ebc-603197b62aa1 |"
time="2023-06-20 17:49:36" level=info msg="| 200 |      1.5059ms |    192.168.3.67 | GET | /notice?kefu_id=kefu2 |"
time="2023-06-20 17:49:36" level=info msg="| 200 |     10.0336ms |    192.168.3.67 | POST | /2/message |"
time="2023-06-20 17:49:36" level=info msg="| 404 |            0s |    192.168.3.67 | GET | /favicon.ico |"
time="2023-06-20 17:50:04" level=info msg="| 200 |   28.0497258s |    192.168.3.67 | GET | /ws_visitor?visitor_id=c61618d6-0bf6-4c33-9ebc-603197b62aa1 |"
time="2023-06-20 17:50:12" level=info msg="| 200 |      3.4635ms |    192.168.3.67 | GET | /chatIndex?kefu_id=kefu2 |"
time="2023-06-20 17:50:12" level=info msg="| 200 |     19.8501ms |    192.168.3.67 | POST | /visitor_login |"
time="2023-06-20 17:50:12" level=info msg="| 200 |      4.1546ms |    192.168.3.67 | GET | /2/messagesPages?page=1&pagesize=5&visitor_id=0dfd8ca4-17b7-49d1-a6e1-7d7cb44693d3 |"
time="2023-06-20 17:50:12" level=info msg="| 200 |      1.7586ms |    192.168.3.67 | GET | /notice?kefu_id=kefu2 |"
time="2023-06-20 17:50:13" level=info msg="| 404 |            0s |    192.168.3.67 | GET | /favicon.ico |"
time="2023-06-20 17:50:16" level=info msg="| 200 |      9.3947ms |    192.168.3.67 | POST | /2/message |"
time="2023-06-20 17:53:00" level=info msg="| 200 | 2m47.9555684s |    192.168.3.67 | GET | /ws_visitor?visitor_id=0dfd8ca4-17b7-49d1-a6e1-7d7cb44693d3 |"
time="2023-06-20 17:53:02" level=info msg="| 200 |      3.1099ms |    192.168.3.67 | GET | /chatIndex?kefu_id=kefu2 |"
time="2023-06-20 17:53:02" level=info msg="| 200 |     10.8507ms |    192.168.3.67 | POST | /visitor_login |"
time="2023-06-20 17:53:02" level=info msg="| 200 |      3.1238ms |    192.168.3.67 | GET | /2/messagesPages?page=1&pagesize=5&visitor_id=0dfd8ca4-17b7-49d1-a6e1-7d7cb44693d3 |"
time="2023-06-20 17:53:02" level=info msg="| 200 |      1.2318ms |    192.168.3.67 | GET | /notice?kefu_id=kefu2 |"
time="2023-06-20 17:53:02" level=info msg="| 404 |            0s |    192.168.3.67 | GET | /favicon.ico |"
time="2023-06-20 17:53:04" level=info msg="| 200 |       8.564ms |    192.168.3.67 | POST | /2/message |"
time="2023-06-20 17:53:20" level=info msg="| 200 |   17.6964563s |    192.168.3.67 | GET | /ws_visitor?visitor_id=0dfd8ca4-17b7-49d1-a6e1-7d7cb44693d3 |"
time="2023-06-20 17:53:21" level=info msg="| 200 |      3.1094ms |    192.168.3.67 | GET | /chatIndex?kefu_id=kefu2 |"
time="2023-06-20 17:53:21" level=info msg="| 200 |     20.7256ms |    192.168.3.67 | POST | /visitor_login |"
time="2023-06-20 17:53:21" level=info msg="| 200 |      2.7652ms |    192.168.3.67 | GET | /2/messagesPages?page=1&pagesize=5&visitor_id=0dfd8ca4-17b7-49d1-a6e1-7d7cb44693d3 |"
time="2023-06-20 17:53:21" level=info msg="| 200 |      1.9974ms |    192.168.3.67 | GET | /notice?kefu_id=kefu2 |"
